district,community,primary_water_source,water_scarcity,scarcity_months,perceived_water_source,belief_underground_rivers,belief_groundwater_exhausted,belief_groundwater_replenished,belief_recharge_detectable,rwh_practice,rwh_barrier,rwh_use,belief_rwh_recharge,belief_rwh_expensive,belief_rwh_unreliable,recharge_solutions,rwh_support_needed
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,FALSE,FALSE,Planting more trees and practicing good farming technology.,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Wilson ,borehole,Yes,"October, November",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more trees and woodlots ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology ,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,Planting more trees and practicing good farming technology ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology ,Community by-laws or encouragement
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology.,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,Yes,"September, October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,TRUE,By planting more trees and practicing good farming technology ,"Community by-laws or encouragement, Training and demonstrations"
Chikwawa,Wilson ,borehole,Yes,"October, November",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,FALSE,Planting more trees and protected the existing ones,Community by-laws or encouragement
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By protecting our trees ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,Yes,"October, November, December",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,TRUE,By planting more trees ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,NA,NA,NA,No,Cannot afford storage materials,NA,Don't Know,Don't Know,Don't Know,No idea,None
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees.,Community by-laws or encouragement
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,TRUE,FALSE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology ,"Community by-laws or encouragement, Training and demonstrations"
Chikwawa,Wilson ,borehole,Yes,"September, October, November",Underground Storage,TRUE,FALSE,TRUE,No,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and practicing good farming technology ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,No,NA,Don't Know,FALSE,NA,NA,NA,No,Do not know about the practice,NA,Don't Know,Don't Know,Don't Know,No idea ,Community by-laws or encouragement
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,TRUE,NA,Yes,No,Do not know about the practice,NA,Don't Know,Don't Know,Don't Know,Don't know ,None
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more trees.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,Yes,NA,Drinking/Cooking,TRUE,TRUE,FALSE,By planting more woodlots and care the remaining trees,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,FALSE,Yes,Yes,NA,Washing/Cleaning,TRUE,FALSE,FALSE,By planting more trees and care the remaining ones,"Training and demonstrations, Community by-laws or encouragement, Subsidies or financial assistance"
Chikwawa,Wilson ,borehole,No,NA,Underground Storage,TRUE,FALSE,FALSE,No,Yes,NA,Washing/Cleaning,TRUE,TRUE,TRUE,By planting more trees and placticing good farming technology.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Kamala,borehole,Yes,"October, November",Underground Storage,FALSE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more trees and practicing good farming technology ,"Community by-laws or encouragement, Training and demonstrations"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,FALSE,FALSE,By planting more trees and practicing good farming technology.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Negative perception/doesn’t seem worthwhile,NA,TRUE,FALSE,FALSE,By planting more trees and practicing good farming y,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and woodlots to protect our groundwater system.,Training and demonstrations
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,TRUE,By planting more trees ,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By planting more vegetation.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees and woodlots in our area.,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Don't Know,NA,NA,NA,NA,No,Do not know about the practice,NA,Don't Know,TRUE,Don't Know,Don't know anything.,Subsidies or financial assistance
Chikwawa,Rambiki ,borehole,Yes,"October, November, December, September",Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees and woodlots in our area.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,NA,FALSE,FALSE,By planting more trees and woodlots to protect our groundwater system.,"Training and demonstrations, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,FALSE,By planting more trees and woodlots to protect our groundwater system.,"Subsidies or financial assistance, Training and demonstrations"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and woodlots to protect our groundwater system.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,FALSE,By protecting the remaining trees.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By planting more trees and woodlots to protect our groundwater system.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Do not know about the practice,NA,TRUE,TRUE,FALSE,By planting more trees and woodlots to protect our groundwater system.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources.,"Training and demonstrations, Subsidies or financial assistance"
Balaka,Rambiki ,borehole,No,NA,Underground Storage,TRUE,TRUE,FALSE,Don't know,No,Cannot afford storage materials,NA,Don't Know,Don't Know,Don't Know,No comment.,None
Chikwawa,Rambiki ,borehole,No,NA,Don't Know,NA,NA,NA,NA,No,Do not know about the practice,NA,Don't Know,Don't Know,Don't Know,Know nothing.,Subsidies or financial assistance
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees and woodlots in the area.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,FALSE,FALSE,By protecting the remaining natural resources.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By planting more trees ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki  ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,FALSE,FALSE,By protecting the remaining natural resources.,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,Planting trees ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Cannot afford storage materials,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,TRUE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
Chikwawa,Rambiki ,borehole,No,NA,Underground Storage,TRUE,FALSE,TRUE,Yes,No,Lack of knowledge or training,NA,TRUE,TRUE,FALSE,By protecting the remaining natural resources ,"Training and demonstrations, Subsidies or financial assistance, Community by-laws or encouragement"
