directory,file_name,variable_name,variable_type,description
data/,rainwaterhsurvey.rda,district,character,Name of district where the household is located
data/,rainwaterhsurvey.rda,community,character,Name of the local community or village of the respondent
data/,rainwaterhsurvey.rda,primary_water_source,character,Main source of water used by the household for drinking and domestic purposes
data/,rainwaterhsurvey.rda,water_scarcity,character,Whether the household experiences water scarcity
data/,rainwaterhsurvey.rda,scarcity_months,character,Months of the year when the household experiences water scarcity
data/,rainwaterhsurvey.rda,perceived_water_source,character,Respondents perception of where their household water originates from
data/,rainwaterhsurvey.rda,belief_underground_rivers,logical,Whether the respondent believes that underground rivers supply boreholes and wells
data/,rainwaterhsurvey.rda,belief_groundwater_exhausted,logical,Whether the respondent believes that drying of boreholes indicates complete depletion of groundwater
data/,rainwaterhsurvey.rda,belief_groundwater_replenished,logical,Whether the respondent believes that groundwater can be replenished or naturally refilled
data/,rainwaterhsurvey.rda,belief_recharge_detectable,character,Respondents view on whether it is possible to detect or know if groundwater is being replenished
data/,rainwaterhsurvey.rda,rwh_practice,character,Whether the household practices rainwater harvesting
data/,rainwaterhsurvey.rda,rwh_barrier,character,Main reason why the household does not practice rainwater harvesting
data/,rainwaterhsurvey.rda,rwh_use,character,Primary uses of harvested rainwater within the household
data/,rainwaterhsurvey.rda,belief_rwh_recharge,character,Respondents belief that rainwater harvesting contributes to groundwater recharge
data/,rainwaterhsurvey.rda,belief_rwh_expensive,character,Respondents belief that rainwater harvesting requires expensive technology or is unaffordable
data/,rainwaterhsurvey.rda,belief_rwh_unreliable,character,Respondents belief that rainwater harvesting is ineffective due to rainfall variability or unreliability
data/,rainwaterhsurvey.rda,recharge_solutions,character,Respondents suggestions on methods or practices that can help replenish groundwater
data/,rainwaterhsurvey.rda,rwh_support_needed,character,"Types of support, information, or interventions that would encourage adoption of rainwater harvesting or groundwater recharge practices"
